movieId,title,avgVote,releaseYear,genres
146238,Runner Runner,5.700000,2013,Crime:Drama:Thriller
146239,Delivery Man,6.200000,2013,Comedy
146243,Haunt,5.200000,2013,Horror
146304,The Best Man Holiday,7.500000,2013,Comedy
146375,On the Other Side of the Tracks,5.700000,2012,Action:Comedy:Crime
146381,Justin and the Knights of Valour,5.500000,2013,Adventure:Animation
146631,Alien Uprising,3.400000,2012,Action:Adventure:Science Fiction
147773,The Way Way Back,7.200000,2013,Comedy:Drama
149085,Tai Chi Hero,7.100000,2012,Action:Adventure
149087,Turning Tide,6.300000,2013,Drama
149509,Horns,7.100000,2014,Drama:Fantasy:Horror:Thriller
149870,The Wind Rises,7.300000,2013,Animation:Drama:History
149910,Super Buddies,6.400000,2013,Family
150117,I Give It A Year,5.500000,2013,Comedy:Romance
150202,The Haunting in Connecticut 2: Ghosts of Georgia,5.600000,2013,Drama:Horror:Thriller
151743,Lost in Thailand,6.100000,2012,Comedy
151933,Dead in Tombstone,5.500000,2013,Action:Fantasy:Horror
151960,Planes,5.900000,2013,Adventure:Animation:Comedy:Family
152259,Phantom,6.100000,2013,Thriller
152532,Dallas Buyers Club,7.800000,2013,Drama:History
152584,Blue Is the Warmest Color,7.700000,2013,Drama:Romance
152599,The Immigrant,5.800000,2013,Drama:Romance
152601,Her,8.000000,2013,Drama:Science Fiction:Romance
152603,Only Lovers Left Alive,7.300000,2013,Drama:Horror:Romance
152737,August: Osage County,7.100000,2013,Comedy:Drama
152742,The Best Offer,7.700000,2013,Crime:Drama:Mystery:Romance
152747,All Is Lost,6.400000,2013,Action:Adventure:Drama
152748,Ain't Them Bodies Saints,6.300000,2013,Crime:Drama:Western:Romance
152760,The Monuments Men,6.000000,2014,Action:Drama:History:War
152780,The Past,7.400000,2013,Drama:Mystery
152790,The Angriest Man in Brooklyn,6.100000,2014,Comedy:Drama
152792,Devil's Knot,6.000000,2013,Crime:Drama:Thriller
152795,The Congress,6.200000,2013,Animation:Drama:Science Fiction
153158,Underdogs,7.200000,2013,Adventure:Animation:Sport:Romance
153738,Frankenstein's Army,6.400000,2013,Action:Horror
153795,Straight A's,4.500000,2013,Comedy:Drama
154441,'Till Luck Do Us Part,6.600000,2012,Comedy
155084,13 Sins,6.800000,2014,Horror:Thriller
156022,The Equalizer,7.600000,2014,Action:Crime:Thriller
156597,Stage Fright,6.300000,2014,Horror:Musical
156700,The Kings of Summer,7.300000,2013,Comedy:Drama
156708,Afternoon Delight,6.500000,2013,Comedy:Drama
156711,Austenland,6.700000,2013,Comedy:Romance
156713,C.O.G.,6.200000,2013,Comedy:Drama
156717,Death Race: Inferno,5.700000,2012,Action:Science Fiction:Thriller
157115,Jug Face,5.400000,2013,Drama:Horror:Thriller
157117,Sound City,7.700000,2013,Documentary:Music
157350,Divergent,7.000000,2014,Action
