personId,name,birthYear,deathYear
19537,Megan Fox,1986,
19728,Mark Harmon,1951,
19729,Katharine Houghton,1945,
19767,Snoop Dogg,1971,
19866,Guillaume Canet,1973,
20049,David Tennant,1971,
20089,Jena Malone,1984,
20212,Dermot Mulroney,1963,
20239,Vincent Pérez,1964,
20286,Toby Kebbell,1982,
20300,Eileen Atkins,1934,
20374,Teresa Palmer,1986,
20403,Beau Garrett,1982,
20491,Vanessa Ferlito,1980,
20495,Jeff Fahey,1952,
20644,Aasif Mandvi,1966,
20759,Yancy Butler,1970,
20767,Samantha Mathis,1970,
20903,Josh Keaton,1979,
20982,Marton Csokas,1966,
20999,Mark Williams,1959,
21007,Jonah Hill,1983,
21029,Billy Burke,1966,
21049,Yancey Arias,1971,
21127,Bobby Cannavale,1970,
21134,John Slattery,1962,
21142,Gregory Itzin,1948,
21200,Will Arnett,1970,
21315,Eric Roberts,1956,
21318,Scout Taylor-Compton,1989,
21430,Natassia Malthe,1974,
21485,Blake Clark,1946,
21618,Victoria Tennant,1950,
21817,Jane March,1973,
21882,Josh Stamberg,1970,
22063,James Frain,1968,
22128,Geoff Stults,1977,
22227,Christopher Meloni,1961,
22821,David Zayas,1969,
22970,Peter Dinklage,1969,
23229,Carice van Houten,1976,
23626,Liev Schreiber,1967,
23659,Will Ferrell,1967,
23680,Dee Bradley Baker,1962,
23789,Sebastian Roché,1964,
23790,Dominic Keating,1962,
23880,Steven Seagal,1951,
24045,Joseph Gordon-Levitt,1981,
24047,Courtney B. Vance,1960,
24264,Craig Ferguson,1962,
24362,Kevin Michael Richardson,1964,
25072,Oscar Isaac,1980,
25129,Don Johnson,1949,
25130,Ben Barnes,1981,
25134,Shane Rangi,1969,
25540,Sandra Oh,1971,
25703,Lake Bell,1979,
25836,Sarah Clarke,1972,
25972,Melina Kanakaredes,1967,
26209,Matt Lucas,1974,
26485,James Belushi,1954,
26718,Dorian Missick,1976,
27104,Johnny Simmons,1986,
27397,Anton Lesser,1952,
27428,Aaron Taylor-Johnson,1990,
27578,Ellen Page,1987,
27752,Bruce Spence,1945,
27822,David Ryall,1935,
28109,Alexa Davalos,1982,
28633,Richard Jenkins,1947,
28640,Molly Shannon,1964,
28660,Emilie de Ravin,1981,
28782,Monica Bellucci,1964,
29234,Joe Anderson,1982,
30083,Lindsay Duncan,1950,
30315,Richard Armitage,1971,
30614,Ryan Gosling,1980,
30710,J. J. Feild,1978,
30882,Christine Lakin,1979,
31132,Columbus Short,1982,
31136,Chris Brown,1989,
31137,Brian J. White,1975,
31384,Jordi Mollà,1968,
31536,Marc Worden,1976,
31838,Danielle Panabaker,1987,
32205,Brendan Fletcher,1981,
32556,Ronald Pickup,1940,
32798,Elisabeth Moss,1982,
32990,Sophie Thompson,1962,
33045,J. Michael Straczynski,1954,
33235,Logan Lerman,1992,
33348,Adrian Holmes,1974,
34199,Thomas Dekker,1987,
34486,Ashley Johnson,1983,
34502,Kellan Lutz,1985,
34847,Emma Roberts,1991,
34900,Paul Whitehouse,1958,
34934,Bruce Timm,1961,
34982,Jeff Bennett,1962,
35091,Scott Grimes,1971,
35548,Simon Rex,1974,
35705,Regina Hall,1970,
